@RELATION 'DescriptiveAttributes-weka.filters.unsupervised.attribute.Remove-R320,322-329,331,336,340,343,346-347,350-351,355-357,362-367,373-374,386-409,412,415'

@ATTRIBUTE Cid                                                              string
@ATTRIBUTE E1                                                               numeric
@ATTRIBUTE E2                                                               numeric
@ATTRIBUTE E3                                                               numeric
@ATTRIBUTE E4                                                               numeric
@ATTRIBUTE E5                                                               numeric
@ATTRIBUTE E6                                                               numeric
@ATTRIBUTE E7                                                               numeric
@ATTRIBUTE E8                                                               numeric
@ATTRIBUTE E9                                                               numeric
@ATTRIBUTE E10                                                              numeric
@ATTRIBUTE E11                                                              numeric
@ATTRIBUTE E12                                                              numeric
@ATTRIBUTE E13                                                              numeric
@ATTRIBUTE E14                                                              numeric
@ATTRIBUTE E15                                                              numeric
@ATTRIBUTE E18                                                              numeric
@ATTRIBUTE E19                                                              numeric
@ATTRIBUTE E20                                                              numeric
@ATTRIBUTE E21                                                              numeric
@ATTRIBUTE E22                                                              numeric
@ATTRIBUTE E23                                                              numeric
@ATTRIBUTE E24                                                              numeric
@ATTRIBUTE E25                                                              numeric
@ATTRIBUTE E26                                                              numeric
@ATTRIBUTE E27                                                              numeric
@ATTRIBUTE E28                                                              numeric
@ATTRIBUTE E29                                                              numeric
@ATTRIBUTE E30                                                              numeric
@ATTRIBUTE E31                                                              numeric
@ATTRIBUTE E32                                                              numeric
@ATTRIBUTE E33                                                              numeric
@ATTRIBUTE E34                                                              numeric
@ATTRIBUTE E35                                                              numeric
@ATTRIBUTE E36                                                              numeric
@ATTRIBUTE E37                                                              numeric
@ATTRIBUTE E38                                                              numeric
@ATTRIBUTE E39                                                              numeric
@ATTRIBUTE E40                                                              numeric
@ATTRIBUTE E41                                                              numeric
@ATTRIBUTE E42                                                              numeric
@ATTRIBUTE E43                                                              numeric
@ATTRIBUTE E44                                                              numeric
@ATTRIBUTE E45                                                              numeric
@ATTRIBUTE E46                                                              numeric
@ATTRIBUTE E47                                                              numeric
@ATTRIBUTE E48                                                              numeric
@ATTRIBUTE E49                                                              numeric
@ATTRIBUTE E50                                                              numeric
@ATTRIBUTE E51                                                              numeric
@ATTRIBUTE E52                                                              numeric
@ATTRIBUTE E53                                                              numeric
@ATTRIBUTE E54                                                              numeric
@ATTRIBUTE E55                                                              numeric
@ATTRIBUTE E56                                                              numeric
@ATTRIBUTE E57                                                              numeric
@ATTRIBUTE E58                                                              numeric
@ATTRIBUTE E59                                                              numeric
@ATTRIBUTE E60                                                              numeric
@ATTRIBUTE E61                                                              numeric
@ATTRIBUTE E62                                                              numeric
@ATTRIBUTE E63                                                              numeric
@ATTRIBUTE E64                                                              numeric
@ATTRIBUTE E65                                                              numeric
@ATTRIBUTE E66                                                              numeric
@ATTRIBUTE E67                                                              numeric
@ATTRIBUTE E68                                                              numeric
@ATTRIBUTE E69                                                              numeric
@ATTRIBUTE E70                                                              numeric
@ATTRIBUTE E71                                                              numeric
@ATTRIBUTE E72                                                              numeric
@ATTRIBUTE E73                                                              numeric
@ATTRIBUTE E74                                                              numeric
@ATTRIBUTE E75                                                              numeric
@ATTRIBUTE E76                                                              numeric
@ATTRIBUTE E77                                                              numeric
@ATTRIBUTE E78                                                              numeric
@ATTRIBUTE E79                                                              numeric
@ATTRIBUTE E80                                                              numeric
@ATTRIBUTE E81                                                              numeric
@ATTRIBUTE E82                                                              numeric
@ATTRIBUTE E83                                                              numeric
@ATTRIBUTE E84                                                              numeric
@ATTRIBUTE E85                                                              numeric
@ATTRIBUTE E86                                                              numeric
@ATTRIBUTE E87                                                              numeric
@ATTRIBUTE E88                                                              numeric
@ATTRIBUTE E89                                                              numeric
@ATTRIBUTE E90                                                              numeric
@ATTRIBUTE E91                                                              numeric
@ATTRIBUTE E92                                                              numeric
@ATTRIBUTE E93                                                              numeric
@ATTRIBUTE E94                                                              numeric
@ATTRIBUTE E95                                                              numeric
@ATTRIBUTE E96                                                              numeric
@ATTRIBUTE E97                                                              numeric
@ATTRIBUTE E98                                                              numeric
@ATTRIBUTE E99                                                              numeric
@ATTRIBUTE E100                                                             numeric
@ATTRIBUTE E101                                                             numeric
@ATTRIBUTE E102                                                             numeric
@ATTRIBUTE E103                                                             numeric
@ATTRIBUTE E104                                                             numeric
@ATTRIBUTE E105                                                             numeric
@ATTRIBUTE E106                                                             numeric
@ATTRIBUTE I1                                                               numeric
@ATTRIBUTE I2                                                               numeric
@ATTRIBUTE I3                                                               numeric
@ATTRIBUTE I4                                                               numeric
@ATTRIBUTE I5                                                               numeric
@ATTRIBUTE I6                                                               numeric
@ATTRIBUTE I7                                                               numeric
@ATTRIBUTE I8                                                               numeric
@ATTRIBUTE I9                                                               numeric
@ATTRIBUTE I10                                                              numeric
@ATTRIBUTE I11                                                              numeric
@ATTRIBUTE I12                                                              numeric
@ATTRIBUTE I13                                                              numeric
@ATTRIBUTE I14                                                              numeric
@ATTRIBUTE I15                                                              numeric
@ATTRIBUTE I18                                                              numeric
@ATTRIBUTE I19                                                              numeric
@ATTRIBUTE I20                                                              numeric
@ATTRIBUTE I21                                                              numeric
@ATTRIBUTE I22                                                              numeric
@ATTRIBUTE I23                                                              numeric
@ATTRIBUTE I24                                                              numeric
@ATTRIBUTE I25                                                              numeric
@ATTRIBUTE I26                                                              numeric
@ATTRIBUTE I27                                                              numeric
@ATTRIBUTE I28                                                              numeric
@ATTRIBUTE I29                                                              numeric
@ATTRIBUTE I30                                                              numeric
@ATTRIBUTE I31                                                              numeric
@ATTRIBUTE I32                                                              numeric
@ATTRIBUTE I33                                                              numeric
@ATTRIBUTE I34                                                              numeric
@ATTRIBUTE I35                                                              numeric
@ATTRIBUTE I36                                                              numeric
@ATTRIBUTE I37                                                              numeric
@ATTRIBUTE I38                                                              numeric
@ATTRIBUTE I39                                                              numeric
@ATTRIBUTE I40                                                              numeric
@ATTRIBUTE I41                                                              numeric
@ATTRIBUTE I42                                                              numeric
@ATTRIBUTE I43                                                              numeric
@ATTRIBUTE I44                                                              numeric
@ATTRIBUTE I45                                                              numeric
@ATTRIBUTE I46                                                              numeric
@ATTRIBUTE I47                                                              numeric
@ATTRIBUTE I48                                                              numeric
@ATTRIBUTE I49                                                              numeric
@ATTRIBUTE I50                                                              numeric
@ATTRIBUTE I51                                                              numeric
@ATTRIBUTE I52                                                              numeric
@ATTRIBUTE I53                                                              numeric
@ATTRIBUTE I54                                                              numeric
@ATTRIBUTE I55                                                              numeric
@ATTRIBUTE I56                                                              numeric
@ATTRIBUTE I57                                                              numeric
@ATTRIBUTE I58                                                              numeric
@ATTRIBUTE I59                                                              numeric
@ATTRIBUTE I60                                                              numeric
@ATTRIBUTE I61                                                              numeric
@ATTRIBUTE I62                                                              numeric
@ATTRIBUTE I63                                                              numeric
@ATTRIBUTE I64                                                              numeric
@ATTRIBUTE I65                                                              numeric
@ATTRIBUTE I66                                                              numeric
@ATTRIBUTE I67                                                              numeric
@ATTRIBUTE I68                                                              numeric
@ATTRIBUTE I69                                                              numeric
@ATTRIBUTE I70                                                              numeric
@ATTRIBUTE I71                                                              numeric
@ATTRIBUTE I72                                                              numeric
@ATTRIBUTE I73                                                              numeric
@ATTRIBUTE I74                                                              numeric
@ATTRIBUTE I75                                                              numeric
@ATTRIBUTE I76                                                              numeric
@ATTRIBUTE I77                                                              numeric
@ATTRIBUTE I78                                                              numeric
@ATTRIBUTE I79                                                              numeric
@ATTRIBUTE I80                                                              numeric
@ATTRIBUTE I81                                                              numeric
@ATTRIBUTE I82                                                              numeric
@ATTRIBUTE I83                                                              numeric
@ATTRIBUTE I84                                                              numeric
@ATTRIBUTE I85                                                              numeric
@ATTRIBUTE I86                                                              numeric
@ATTRIBUTE I87                                                              numeric
@ATTRIBUTE I88                                                              numeric
@ATTRIBUTE I89                                                              numeric
@ATTRIBUTE I90                                                              numeric
@ATTRIBUTE I91                                                              numeric
@ATTRIBUTE I92                                                              numeric
@ATTRIBUTE I93                                                              numeric
@ATTRIBUTE I94                                                              numeric
@ATTRIBUTE I95                                                              numeric
@ATTRIBUTE I96                                                              numeric
@ATTRIBUTE I97                                                              numeric
@ATTRIBUTE I98                                                              numeric
@ATTRIBUTE I99                                                              numeric
@ATTRIBUTE I100                                                             numeric
@ATTRIBUTE I101                                                             numeric
@ATTRIBUTE I102                                                             numeric
@ATTRIBUTE I103                                                             numeric
@ATTRIBUTE I104                                                             numeric
@ATTRIBUTE I105                                                             numeric
@ATTRIBUTE I106                                                             numeric
@ATTRIBUTE E/I1                                                             numeric
@ATTRIBUTE E/I2                                                             numeric
@ATTRIBUTE E/I3                                                             numeric
@ATTRIBUTE E/I4                                                             numeric
@ATTRIBUTE E/I5                                                             numeric
@ATTRIBUTE E/I6                                                             numeric
@ATTRIBUTE E/I7                                                             numeric
@ATTRIBUTE E/I8                                                             numeric
@ATTRIBUTE E/I9                                                             numeric
@ATTRIBUTE E/I10                                                            numeric
@ATTRIBUTE E/I11                                                            numeric
@ATTRIBUTE E/I12                                                            numeric
@ATTRIBUTE E/I13                                                            numeric
@ATTRIBUTE E/I14                                                            numeric
@ATTRIBUTE E/I15                                                            numeric
@ATTRIBUTE E/I18                                                            numeric
@ATTRIBUTE E/I19                                                            numeric
@ATTRIBUTE E/I20                                                            numeric
@ATTRIBUTE E/I21                                                            numeric
@ATTRIBUTE E/I22                                                            numeric
@ATTRIBUTE E/I23                                                            numeric
@ATTRIBUTE E/I24                                                            numeric
@ATTRIBUTE E/I25                                                            numeric
@ATTRIBUTE E/I26                                                            numeric
@ATTRIBUTE E/I27                                                            numeric
@ATTRIBUTE E/I28                                                            numeric
@ATTRIBUTE E/I29                                                            numeric
@ATTRIBUTE E/I30                                                            numeric
@ATTRIBUTE E/I31                                                            numeric
@ATTRIBUTE E/I32                                                            numeric
@ATTRIBUTE E/I33                                                            numeric
@ATTRIBUTE E/I34                                                            numeric
@ATTRIBUTE E/I35                                                            numeric
@ATTRIBUTE E/I36                                                            numeric
@ATTRIBUTE E/I37                                                            numeric
@ATTRIBUTE E/I38                                                            numeric
@ATTRIBUTE E/I39                                                            numeric
@ATTRIBUTE E/I40                                                            numeric
@ATTRIBUTE E/I41                                                            numeric
@ATTRIBUTE E/I42                                                            numeric
@ATTRIBUTE E/I43                                                            numeric
@ATTRIBUTE E/I44                                                            numeric
@ATTRIBUTE E/I45                                                            numeric
@ATTRIBUTE E/I46                                                            numeric
@ATTRIBUTE E/I47                                                            numeric
@ATTRIBUTE E/I48                                                            numeric
@ATTRIBUTE E/I49                                                            numeric
@ATTRIBUTE E/I50                                                            numeric
@ATTRIBUTE E/I51                                                            numeric
@ATTRIBUTE E/I52                                                            numeric
@ATTRIBUTE E/I53                                                            numeric
@ATTRIBUTE E/I54                                                            numeric
@ATTRIBUTE E/I55                                                            numeric
@ATTRIBUTE E/I56                                                            numeric
@ATTRIBUTE E/I57                                                            numeric
@ATTRIBUTE E/I58                                                            numeric
@ATTRIBUTE E/I59                                                            numeric
@ATTRIBUTE E/I60                                                            numeric
@ATTRIBUTE E/I61                                                            numeric
@ATTRIBUTE E/I62                                                            numeric
@ATTRIBUTE E/I63                                                            numeric
@ATTRIBUTE E/I64                                                            numeric
@ATTRIBUTE E/I65                                                            numeric
@ATTRIBUTE E/I66                                                            numeric
@ATTRIBUTE E/I67                                                            numeric
@ATTRIBUTE E/I68                                                            numeric
@ATTRIBUTE E/I69                                                            numeric
@ATTRIBUTE E/I70                                                            numeric
@ATTRIBUTE E/I71                                                            numeric
@ATTRIBUTE E/I72                                                            numeric
@ATTRIBUTE E/I73                                                            numeric
@ATTRIBUTE E/I74                                                            numeric
@ATTRIBUTE E/I75                                                            numeric
@ATTRIBUTE E/I76                                                            numeric
@ATTRIBUTE E/I77                                                            numeric
@ATTRIBUTE E/I78                                                            numeric
@ATTRIBUTE E/I79                                                            numeric
@ATTRIBUTE E/I80                                                            numeric
@ATTRIBUTE E/I81                                                            numeric
@ATTRIBUTE E/I82                                                            numeric
@ATTRIBUTE E/I83                                                            numeric
@ATTRIBUTE E/I84                                                            numeric
@ATTRIBUTE E/I85                                                            numeric
@ATTRIBUTE E/I86                                                            numeric
@ATTRIBUTE E/I87                                                            numeric
@ATTRIBUTE E/I88                                                            numeric
@ATTRIBUTE E/I89                                                            numeric
@ATTRIBUTE E/I90                                                            numeric
@ATTRIBUTE E/I91                                                            numeric
@ATTRIBUTE E/I92                                                            numeric
@ATTRIBUTE E/I93                                                            numeric
@ATTRIBUTE E/I94                                                            numeric
@ATTRIBUTE E/I95                                                            numeric
@ATTRIBUTE E/I96                                                            numeric
@ATTRIBUTE E/I97                                                            numeric
@ATTRIBUTE E/I98                                                            numeric
@ATTRIBUTE E/I99                                                            numeric
@ATTRIBUTE E/I100                                                           numeric
@ATTRIBUTE E/I101                                                           numeric
@ATTRIBUTE E/I102                                                           numeric
@ATTRIBUTE E/I103                                                           numeric
@ATTRIBUTE E/I104                                                           numeric
@ATTRIBUTE E/I105                                                           numeric
@ATTRIBUTE E/I106                                                           numeric
@ATTRIBUTE AGR_EMP                                                          numeric
@ATTRIBUTE AGR_VAL                                                          numeric
@ATTRIBUTE RUR_POP                                                          numeric
@ATTRIBUTE MORT                                                             numeric
@ATTRIBUTE EMPL_BAD                                                         numeric
@ATTRIBUTE CATP_TO_ASSET                                                    numeric
@ATTRIBUTE COMP_CAPIT                                                       numeric
@ATTRIBUTE MON_GROWTH                                                       numeric
@ATTRIBUTE M2                                                               numeric
@ATTRIBUTE CRED_COVER                                                       numeric
@ATTRIBUTE STOCKS                                                           numeric
@ATTRIBUTE WORKER_REMIT                                                     numeric
@ATTRIBUTE EMP_PART_M                                                       numeric
@ATTRIBUTE UNEMP_M                                                          numeric
@ATTRIBUTE UNEMP_F                                                          numeric
@ATTRIBUTE EDU_PRIM_F                                                       numeric
@ATTRIBUTE EDU_PRIM_M                                                       numeric
@ATTRIBUTE EDU_TERT_F                                                       numeric
@ATTRIBUTE EDU_TERT_M                                                       numeric
@ATTRIBUTE LABOR_F                                                          numeric
@ATTRIBUTE LABOR_M                                                          numeric
@ATTRIBUTE LABOR_PARTICIP_RATE                                              numeric
@ATTRIBUTE EDU_TOTAL_F                                                      numeric
@ATTRIBUTE EDU_TOTAL_M                                                      numeric
@ATTRIBUTE UNEM_F                                                           numeric
@ATTRIBUTE UNEM_M                                                           numeric
@ATTRIBUTE POP_14                                                           numeric
@ATTRIBUTE POP_15_64                                                        numeric
@ATTRIBUTE POP_64                                                           numeric
@ATTRIBUTE POP_F                                                            numeric
@ATTRIBUTE POP_GROWTH                                                       numeric
@ATTRIBUTE AGR_F                                                            numeric
@ATTRIBUTE AGR_M                                                            numeric
@ATTRIBUTE EMPL_INDUST_F                                                    numeric
@ATTRIBUTE EMPL_INDUST_M                                                    numeric
@ATTRIBUTE EMPL_SERV_F                                                      numeric
@ATTRIBUTE EMPL_SERV_M                                                      numeric
@ATTRIBUTE EMPL_AGR                                                         numeric
@ATTRIBUTE EMPL_POP                                                         numeric
@ATTRIBUTE UNEMPL_LONG                                                      numeric
@ATTRIBUTE UNEMPL_YOUTH_F                                                   numeric
@ATTRIBUTE UNEMPL_YOUTH_M                                                   numeric
@ATTRIBUTE POP_LARGEST_CITY                                                 numeric
@ATTRIBUTE POP_MILLION_CITY                                                 numeric
@ATTRIBUTE URBAN_POP                                                        numeric
@ATTRIBUTE BAL                                                              numeric
@ATTRIBUTE CRED                                                             numeric
@ATTRIBUTE FDI                                                              numeric
@ATTRIBUTE BNK_HLTH                                                         numeric

@DATA
"1",78.0,68.0,33.0,33.0,28.0,0.0,27.0,9.0,0.0,9.0,10.0,2.0,14.0,1.0,5.0,9.0,0.0,15.0,70.0,10.0,13.0,8.0,0.0,3.0,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,2.0,0.0,0.0,0.0,12.0,1.0,8.0,11.0,10.0,10.0,0.0,0.0,?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,94.0,100.0,1.0,?,7.0,1.0,0.0,0.0,0.0,0.0,49.0,22.0,18.0,21.0,16.0,3.0,1.0,0.0,0.0,0.0,27.0,0.0,46.0,3.0,20.0,22.0,2.0,4.0,22.0,0.0,45.0,11.0,5.0,15.0,12.0,1.0,15.0,0.0,1.0,1.0,0.0,6.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,25.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,20.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,7.0,4.0,8.0,1.0,0.0,0.0,1.0,49.0,95.0,100.0,?,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.156,0.307,0.178,0.155,0.175,0.001,3.125,3.066,0.002,10.424,0.035,96243.321,0.03,0.015,0.022,0.041,0.011,0.343,0.315,3.68,0.029,0.072,0.008,0.021,0.009,0.037,0.203,0.121,0.0,0.003,0.054,0.001,1.252,0.001,0.198,0.233,0.001,0.001,0.001,0.002,3.711,94.447,2.903,0.027,0.037,0.234,29.443,2.023,15.273,16.345,0.035,3.868,0.0,0.017,?,0.0,0.007,0.001,0.0,0.015,0.059,0.04,0.004,0.005,0.025,?,0.048,0.003,0.01,0.059,0.841,0.001,0.001,0.014,0.065,0.134,0.011,0.009,0.022,0.072,0.065,0.041,0.019,0.016,0.039,0.017,0.006,0.003,0.014,0.001,0.006,0.063,0.013,0.159,0.097,0.098,?,?,0.131,0.034,0.019,0.008,0.001,0.002,?,24.6067,76.1446,98.5,?,?,?,8.8001,31.9421,0.0,?,1.8791,?,?,?,?,?,?,?,15.7,79.7,47.9,?,?,?,?,47.4154,50.3073,2.2772,49.2859,2.4405,?,?,?,?,?,?,?,43.8,?,?,?,57.147,10.6875,23.8554,-35.5458,4.0558,0.4587,?
"2",41.0,20.0,4.0,4.0,3.0,0.0,3.0,13.0,1.0,12.0,21.0,0.0,58.0,1.0,5.0,52.0,6.0,19.0,20.0,13.0,56.0,41.0,10.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,21.0,0.0,20.0,0.0,1.0,0.0,?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,1.0,0.0,19.0,41.0,100.0,100.0,0.0,?,0.0,1.0,0.0,0.0,16.0,1.0,40.0,21.0,14.0,17.0,13.0,3.0,1.0,3.0,1.0,2.0,19.0,0.0,60.0,11.0,18.0,31.0,5.0,8.0,21.0,3.0,55.0,18.0,9.0,14.0,12.0,2.0,13.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,13.0,2.0,4.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,22.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,18.0,1.0,2.0,0.0,3.0,1.0,2.0,3.0,5.0,0.0,11.0,0.0,1.0,0.0,4.0,40.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.438,0.404,0.112,0.095,0.112,0.027,1.251,2.026,0.471,2.997,0.475,1.172,0.408,0.044,0.113,0.7,0.561,1.081,0.405,2.017,0.429,0.942,0.47,0.098,0.046,0.17,0.122,0.027,0.025,0.106,1.57,0.012,0.219,0.003,0.112,0.005,0.012,0.027,0.018,0.039,2.345,12.954,0.084,0.129,0.64,0.276,0.04,0.962,3.332,1.887,0.475,0.001,0.679,0.007,0.084,0.007,?,0.004,0.223,0.044,0.301,0.163,0.015,0.009,0.007,0.003,0.043,0.009,0.147,0.3,0.121,0.04,0.159,0.291,0.033,0.27,0.561,0.365,0.113,0.526,0.071,0.178,0.039,0.022,0.217,0.105,0.034,0.259,1.486,0.094,0.619,0.046,2.144,0.438,0.42,0.42,0.98,?,0.465,0.19,0.065,0.069,3.299,0.471,?,18.2561,45.5528,16.7,?,?,?,4.9767,82.1007,0.0,?,8.1202,?,?,?,?,?,62.7905,47.3362,45.0,65.4,55.1,?,?,?,?,21.3295,68.1044,10.5661,49.8326,0.2597,?,?,?,?,?,?,?,47.0,?,?,?,?,?,54.4472,-10.3895,38.0464,10.0035,?
"3",98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,69.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,100.0,100.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,20.0,21.0,19.0,1.0,2.0,2.0,1.0,0.0,4.0,0.0,71.0,12.0,37.0,22.0,9.0,2.0,24.0,2.0,65.0,6.0,12.0,32.0,14.0,1.0,18.0,0.0,1.0,3.0,0.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,?,2.0,0.0,2.0,0.0,12.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,19.0,0.0,1.0,0.0,2.0,1.0,2.0,9.0,3.0,37.0,2.0,4.0,0.0,6.0,1.0,3.0,4.0,16.0,0.0,4.0,0.0,1.0,0.0,1.0,29.0,100.0,100.0,0.0,?,0.0,1.0,0.0,1.0,0.0,1.0,4.545,0.047,0.026,0.027,0.028,0.039,0.017,0.323,0.058,1.262,30.599,0.922,0.03,0.118,0.01,0.015,0.009,0.004,0.047,0.33,0.033,0.024,0.01,0.011,0.11,0.009,0.028,0.008,0.003,0.001,0.177,0.006,0.043,0.171,0.007,0.0,0.004,0.039,0.207,0.008,0.234,31.633,0.006,0.01,0.004,0.226,0.008,1.179,1.979,0.004,30.599,0.002,23.159,88420.951,?,0.013,3.08,0.01,0.013,0.118,0.186,2.326,0.01,0.001,0.031,0.074,0.007,0.007,0.008,0.019,2.857,0.026,0.03,0.016,0.005,0.045,0.009,0.008,0.01,0.025,0.006,0.005,0.008,0.001,0.008,0.004,0.011,0.04,0.01,0.009,0.001,0.001,0.002,4.543,1.317,1.318,0.977,?,4.012,0.013,0.056,0.013,0.001,0.058,?,9.2998,26.294,20.0,?,?,?,8.6479,61.001,0.0,?,0.1036,?,?,?,?,?,37.7073,25.4198,15.0,71.9,43.7,?,?,?,?,27.4187,67.9145,4.6668,49.4366,1.8854,?,?,?,?,?,?,?,39.4,?,?,?,10.2961,7.7617,73.706,5.951,14.5441,0.7783,?
"4",58.0,20.0,16.0,16.0,16.0,0.0,1.0,2.0,0.0,2.0,38.0,?,42.0,5.0,33.0,3.0,0.0,1.0,20.0,2.0,35.0,0.0,1.0,26.0,6.0,1.0,14.0,?,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,?,3.0,?,?,0.0,0.0,?,1.0,0.0,2.0,0.0,38.0,?,37.0,1.0,?,2.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,?,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,21.0,1.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,58.0,100.0,100.0,?,?,0.0,1.0,0.0,1.0,0.0,0.0,79.0,22.0,16.0,22.0,16.0,5.0,0.0,0.0,0.0,0.0,56.0,0.0,21.0,1.0,5.0,15.0,7.0,1.0,22.0,0.0,20.0,4.0,9.0,4.0,2.0,1.0,16.0,?,2.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,?,0.0,?,0.0,?,0.0,0.0,0.0,0.0,56.0,?,55.0,1.0,?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,79.0,100.0,100.0,?,?,0.0,1.0,0.0,0.0,0.0,0.0,0.099,0.12,0.135,0.103,0.137,0.004,0.401,0.696,0.089,0.852,0.091,?,0.267,0.486,0.913,0.031,0.008,0.142,0.12,0.696,0.241,0.017,0.018,0.957,0.351,0.105,0.116,?,0.002,0.0,0.091,0.002,0.023,0.001,0.021,12.247,0.004,0.004,0.004,?,0.589,?,?,?,0.006,?,71.202,0.0,4.61,0.002,0.091,?,0.091,0.123,?,8.951,64.734,0.0,0.002,0.486,0.001,4.142,0.013,1.223,0.005,?,6.838,0.03,0.5,0.016,3.995,0.017,0.005,0.012,0.009,0.02,0.008,0.066,0.913,10.772,0.34,0.03,0.411,0.109,0.074,2.128,0.085,0.026,0.098,0.082,0.046,0.086,0.018,0.099,0.134,0.134,?,?,0.009,0.068,0.115,0.312,0.011,0.089,?,?,6.5704,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.2645,?,?,?,?,?,?,?,?,?,?,?,?,?,93.4296,?,?,?,?
